msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,Revoked!,,,,,,Peruttu!,
,Unsupported release,,,,,,Julkaisua ei tueta,
,Can not determine status,,,,,,Tilaa ei voida määritellä,
,(version @version available),,,,,,(versio @version on saatavilla),
,See the available updates page for more information:,,,,,,Lue lisää <em>Saatavilla olevat päivitykset</em> -sivulta:,
,"There is a security update available for your version of Drupal. To ensure the security of your server, you should update immediately!",,,,,,Käyttämääsi Drupal-versioon on saatavilla turvapäivitys. Varmista palvelimesi turvallisuus päivittämällä välittömästi!,
,Your version of Drupal has been revoked and is no longer available for download. Upgrading is strongly recommended!,,,,,,"Käytössäsi oleva Drupalin versio on peruttu, eikä sitä voi enää ladata. Suosittelemme, että päivität Drupalin!",
,The installed version of at least one of your modules or themes has been revoked and is no longer available for download. Upgrading or disabling is strongly recommended!,,,,,,"Ainakin yksi käyttämäsi moduuli tai teema on poistettu, eikä sitä tarjota enää. Suosittelemme että poistat tai päivität sen!",
,Your version of Drupal is no longer supported. Upgrading is strongly recommended!,,,,,,"Käytössäsi olevaa Drupalin versiota ei enää tueta. Suosittelemme, että päivität Drupalin!",
,"There are updates available for your version of Drupal. To ensure the proper functioning of your site, you should update as soon as possible.",,,,,,Käyttämääsi Drupal-versioon on saatavilla päivitys. Varmista sivustosi toimivuus päivittämällä niin pian kuin mahdollista.,
,Project not secure,,,,,,Projekti on turvaton,
,"This project has been labeled insecure by the Drupal security team, and is no longer available for download. Immediately disabling everything included by this project is strongly recommended!",,,,,,"Drupalin turvallisuusryhmä on merkinnyt tämän projektin turvattomaksi, eikä sitä voi enää ladata. Suosittelemme, että poistat välittömästi käytöstä kaiken tähän projektiin liittyvän!",
,Project revoked,,,,,,Projekti on peruttu,
,"This project has been revoked, and is no longer available for download. Disabling everything included by this project is strongly recommended!",,,,,,"Tämä projekti on peruttu, eikä sitä voi enää ladata. Suosittelemme, että poistat käytöstä kaiken tähän projektiin liittyvän!",
,Project not supported,,,,,,Projektia ei tueta,
,"This project is no longer supported, and is no longer available for download. Disabling everything included by this project is strongly recommended!",,,,,,"Tätä projektia ei enää tueta, eikä sitä voi enää ladata. Suosittelemme, että poistat käytöstä kaiken tähän projektiin liittyvän!",
,No available releases found,,,,,,Julkaisuja ei ole saatavilla,
,Release revoked,,,,,,Julkaisu on kumottu,
,"Your currently installed release has been revoked, and is no longer available for download. Disabling everything included in this release or upgrading is strongly recommended!",,,,,,"Käytössäsi oleva julkaisu on peruttu, eikä sitä voi enää ladata. Suosittelemme, että poistat kokonaan käytöstä tämän julkaisun tai päivität sen.",
,Release not supported,,,,,,Julkaisua ei tueta,
,"Your currently installed release is now unsupported, and is no longer available for download. Disabling everything included in this release or upgrading is strongly recommended!",,,,,,"Käytössäsi olevaa julkaisua ei enää tueta, eikä sitä voi enää ladata. Suosittelemme, että poistat kokonaan käytöstä tämän julkaisun tai päivität sen.",
,Invalid info,,,,,,Virheelliset tiedot,
,Security update required!,,,,,,Turvapäivitys vaaditaan!,
,Not supported!,,,,,,Ei tuettu!,
,Recommended version:,,,,,,Suositeltava versio:,
,Security update:,,,,,,Turvapäivitys:,
,Latest version:,,,,,,Uusin versio:,
,Development version:,,,,,,Kehitysversio:,
,Also available:,,,,,,Saatavilla myös:,
,No name,,,,,,Ei nimeä,
,Node count,,,,,,Solmujen lukumäärä,
,File MIME,,,,,,Tiedoston MIME,
,User Role,,,,,,Käyttäjärooli,
,Search help,,,,,,Hakuohjeet,
,Field settings,,,,,,Kentän asetukset,
,Edit forum,,,,,,Muokkaa foorumia,
,Default order,,,,,,Oletusjärjestys,
,This is the designated forum vocabulary. Some of the normal vocabulary options have been removed.,,,,,,Tämä sanasto määrittää foorumien rakenteen. Jotkin tavallisest sanastojen asetukset eivät ole käytettävissä.,
,Leave shadow copy,,,,,,Jätä varjokopio,
,"If you move this topic, you can leave a link in the old forum to the new forum.",,,,,,"Jos siirrät tätä keskustelua, vanhalle foorumille voidaan jättää uudelle foorumille ohjaava linkki eli <em>varjokopio</em>.",
,Container name,,,,,,Säiliön nimi,
,forum container,,,,,,foorumisäiliö,
,Created new @type %term.,,,,,,Luotu uusi @type %term.,
,The @type %term has been updated.,,,,,,Päivitetty @type %term.,
,AJAX,,,,,,AJAX,
,Emails,,,,,,Sähköpostit,
,Favicon,,,,,,Favicon,
,Containing any of the words,,,,,,Sisältää minkä tahansa sanoista,
,Containing the phrase,,,,,,Sisältää lauseen,
,Containing none of the words,,,,,,Ei sisällä sanoja,
,Only of the type(s),,,,,,Vain tyyppiä/tyyppejä,
,Content ranking,,,,,,Sisällön arvojärjestys,
,Keyword relevance,,,,,,Hakusanan osuvuus,
,Number of comments,,,,,,Kommenttien määrä,
,Number of views,,,,,,Katselukerrat,
,Factor,,,,,,Tekijä,
,Content search,,,,,,Sisältöhaku,
,Expand layout to include descriptions.,,,,,,"Näytä väljempi ulkoasu, joka sisältää kuvaukset.",
,Hide descriptions,,,,,,Kätke kuvaukset,
,Compress layout by hiding descriptions.,,,,,,"Näytä suppeampi ulkoasu, joka ei sisällä kuvauksia.",
,Or,,,,,,TAI,
,Color set,,,,,,Värisarja,
,Content ID,,,,,,Sisällön ID,
,Underline,,,,,,Alleviivattu,
,Cut,,,,,,Leikkaa,
,Paste,,,,,,Liitä,
,Ordered list,,,,,,Järjestetty lista,
,Unordered list,,,,,,Järjestämätön lista,
,About,,,,,,Tietoja,
,Case sensitive,,,,,,Kirjasinkokoriippuvainen,
,Maximum link text length,,,,,,Suurin linkkitekstin pituus,
,URLs longer than this number of characters will be truncated to prevent long strings that break formatting. The link itself will be retained; just the text portion of the link will be truncated.,,,,,,"Tätä merkkimäärää pidemmät URL:t lyhennetään, jolla estetään muotoilun rikkovat ylipitkät merkkijonot.  Itse linkki jää ennalleen; vain linkin tekstiosaa lyhennetään.",
,Setting,,,,,,Asetus,
,"If you don't have direct file access to the server, use this field to upload your logo.",,,,,,"Jos sinulla ei ole suoraa yhteyttä palvelimen tiedostojärjestelmään, käytä tätä kenttää logon siirtämiseen palvelimelle.",
,Link class,,,,,,Linkin luokka,
,Install profile,,,,,,Asennusprofiili,
,%percentage of the site has been indexed.,,,,,,%percentage sivustosta on indeksoitu.,
,File directory,,,,,,Tiedostokansio,
,Default theme,,,,,,Oletusteema,
,Teaser length,,,,,,Yhteenvedon pituus,
,not set,,,,,,ei asetettuna,
,Web server,,,,,,Web-palvelin,
,Memory limit,,,,,,Muistiraja,
,regex,,,,,,regex,
,Indexes,,,,,,Indeksit,
,Cardinality,,,,,,Mahtavuus,
,There is 1 item left to index.,There are @count items left to index.,,,,,Jäljellä on 1 indeksoitava kohde.,Jäljellä on @count indeksoitavaa kohdetta.
,The content access permissions have been rebuilt.,,,,,,Sisällön pääsyoikeudet on rakennettu uudelleen.,
,Column,,,,,,Palsta,
,Default sort,,,,,,Oletusjärjestys,
,and,,,,,,ja,
,Manage actions,,,,,,Hallinnoi toimenpiteitä,
,Action type,,,,,,Toimenpiteen tyyppi,
,Display a message to the user,,,,,,Näytä käyttäjälle viesti,
,Unpublish comment,,,,,,Peru kommentin julkaisu,
,Unpublish comment containing keyword(s),,,,,,"Peru kommentin julkaisu, jos se sisältää avainsanan/sanoja",
,Page path,,,,,,Sivun polku,
,- Select -,,,,,,- Valitse -,
,Content language,,,,,,Content language,
,Enables the categorization of content.,,,,,,Luokittele sisältöä merkitsemällä kirjoituksiin termejä.,
,Path prefix,,,,,,Polun etuliite,
,Auto-reply,,,,,,Automaattivastaus,
,Optional auto-reply. Leave empty if you do not want to send the user an auto-reply message.,,,,,,Valinnainen automaattivastaus. Jätä tyhjäksi jos et halua lähettää käyttäjälle automaattista vastausviestiä.,
,Add @type,,,,,,Lisää @type,
,Synchronize,,,,,,Synkronoi,
,Number of results,,,,,,Hakutulosten määrä,
,Set as default,,,,,,Aseta oletukseksi,
,Not promoted,,,,,,Ei nostettu,
,Not sticky,,,,,,Ei kiinnitetty,
,Errors,,,,,,Virheet,
,Nid,,,,,,Nid,
,Parent comment,,,,,,Isäntäkommentti,
,Author's website,,,,,,Ylläpitäjän www-sivusto,
,Display the depth of the comment if it is threaded.,,,,,,Näytä kommentin syvyys jos kommentti on ketjutettuna.,
,Sort by the threaded order. This will keep child comments together with their parents.,,,,,,Näytä vastaukset ketjutettuina. Tämä pitää alikommentit yhdessä isäntiensä kamssa.,
,Provide a simple link to reply to the comment.,,,,,,Tarjoa yksinkertainen linkki kommenttiin vastaamiseksi.,
,Text to display,,,,,,Näytettävä teksti,
,UI settings,,,,,,UI asetukset,
,field,,,,,,kenttä,
,Update settings,,,,,,Päivitysasetukset,
,nodes,,,,,,solmut,
,Formatter,,,,,,Muokkaaja,
,Some required modules must be enabled,,,,,,"Valitsemasi moduulit riippuvat muista moduuleista, jotka pitää myös ottaa käyttöön",
,New posts,,,,,,Uutta sisältöä,
,View settings,,,,,,Näkymän asetukset,
,Week @week,,,,,,Viikko @week,
,Delete view,,,,,,Poista näkymä,
,Accessibility features,,,,,,Saavutettavuus,
,Translation file,,,,,,Käännöstiedosto,
,File to import not found.,,,,,,Tuotavaa tiedostoa ei löytynyt.,
,Save translations,,,,,,Talleta käännökset,
,Cache options,,,,,,Välimuistin optiot,
,Target,,,,,,Kohde,
,Time ago,,,,,,Aikaa sitten,
,Create @name,,,,,,Luo @name,
,Crop,,,,,,Rajaa,
,Not enabled,,,,,,Ei käytössä,
,Insert Image,,,,,,Lisää kuva,
,Instructions to present to the user below this field on the editing form.<br />Allowed HTML tags: @tags,,,,,,Tämän kentän alapuolella lomakkeella käyttäjälle näytettä ohjeteksti.<br />Sallitut HTML-merkit: @tags,
,Sort direction,,,,,,Lajittelusuunta,
,Element,,,,,,Elementti,
,Radios,,,,,,Radionapit,
,Block type,,,,,,Lohkon tyyppi,
,"@module (<span class=""admin-disabled"">disabled</span>)",,,,,,"@module (<span class=""admin-disabled"">pois käytöstä</span>)",
,Field options,,,,,,Kenttäasetukset,
,Save permissions,,,,,,Tallenna käyttöoikeudet,
,Effect,,,,,,Efekti,
,Route,,,,,,Reitti,
,Sequence,,,,,,Sekvenssi,
,starting from @count,,,,,,alkaen kohdasta @count,
,Embed,,,,,,Upota,
,Menu block,,,,,,Valikkolohko,
,Quick edit,,,,,,Pikamuokkaus,
,Change book (update list of parents),,,,,,Vaihda kirjaa (päivittää yläsivujen listan),
,Manage your site's book outlines.,,,,,,Kokoa kirjoituksia kirjoiksi ja järjestele niiden sisältöä.,
,"For security reasons, your upload has been renamed to %filename.",,,,,,Lähettämäsi tiedoston nimeksi on turvallisuussyistä vaihdettu %filename.,
,vocabulary,,,,,,sanasto,
,Installed version,,,,,,Asennettu versio,
,Recommended version,,,,,,Suositeltu versio,
,User roles,,,,,,Käyttäjäroolit,
,Acronym,,,,,,Lyhenne,
,More link path,,,,,,"""Lisää"" linkin polku",
,No vocabularies available.,,,,,,Yhtään sanastoa ei ole saatavilla.,
,original,,,,,,alkuperäinen,
,Starting level,,,,,,Aloitustaso,
,Title only,,,,,,Vain otsikko,
,Notification settings,,,,,,Ilmoitusasetukset,
,Dates,,,,,,Päivämäärät,
,Not defined,,,,,,Ei määriteltynä,
,Validator,,,,,,Validoija,
,Debugging,,,,,,Debuggaus,
,Inherit,,,,,,Peri,
,No preview,,,,,,Ei esikatselua,
,Save as,,,,,,Tallenna nimellä,
,Preview image,,,,,,Esikatselukuva,
,pixels,,,,,,pikseliä,
,Use default,,,,,,Käytä oletusarvoa,
,1 month,@count months,,,,,Yksi kuukausi,@count kuukautta
,Parameter,,,,,,Parametri,
,done,,,,,,suoritettu,
,Display format,,,,,,Näyttömuoto,
,Custom format,,,,,,Mukautettu muoto,
,Current state,,,,,,Nykyinen tila,
,The date the node was last updated.,,,,,,Solmun viimeisin päivityspäivämäärä.,
,Direction,,,,,,Suunta,
,Drupal core,,,,,,Drupalin ydin,
,Book navigation block display,,,,,,Kirjojen navigaatiolohkon näyttäminen,
,Relations,,,,,,Suhteet,
,Invalid display id @display,,,,,,Epäkelpo sivun ID.,
,Error: handler for @table > @field doesn't exist!,,,,,,Virhe: käsittelijää taulun @table kentälle @field ei löytynyt!,
,Do not use a relationship,,,,,,Älä käytä suhdetta,
,Password field is required.,,,,,,Salasana on pakollinen.,
,Display type,,,,,,Näkymän tyyppi,
,button,,,,,,painike,
,Administration theme,,,,,,Ylläpidon teema,
,The cache has been cleared.,,,,,,Välimuisti on tyhjennetty.,
,Isle of Man,,,,,,Man-saari,
,Montenegro,,,,,,Montenegro,
,Serbia,,,,,,Serbia,
,Uri,,,,,,Uri,
,Kosovo,,,,,,Kosovo,
,Diego Garcia,,,,,,Diego Garcia,
,Tristan da Cunha,,,,,,Tristan da Cunha,
,Role ID.,,,,,,Roolin ID.,
,Combine,,,,,,Yhdistä,
,of,,,,,,/,
,Tour,,,,,,Kierros,
,Title field,,,,,,Otsikkokenttä,
,The file %file could not be saved. An unknown error has occurred.,,,,,,Tiedostoa %file ei voitu tallentaa. Tapahtui tuntematon virhe.,
,The specified file %name could not be uploaded.,,,,,,Tiedoston %name siirtäminen palvelimelle epäonnistui.,
,The file's name is empty. Please give a name to the file.,,,,,,Tiedostoa ei voi jättää nimeämättä. Anna tiedostolle nimi.,
,Only files with the following extensions are allowed: %files-allowed.,,,,,,Vain seuraavat tiedostopäätteet ovat sallittuja: %files-allowed.,
,The file is %filesize exceeding the maximum file size of %maxsize.,,,,,,Tiedostokoko %filesize ylittää suurimman tiedostokoon rajan %maxsize.,
,The file is %filesize which would exceed your disk quota of %quota.,,,,,,"Tiedoston koko on %filesize, mikä ylittää sinulle sallitun käyttörajan %quota.",
,Upload error. Could not move uploaded file %file to destination %destination.,,,,,,Virhe siirrettäessä tiedostoa palvelimelle. Tiedostoa %file ei voitu siirtää hakemistoon %destination.,
,Add to book outline,,,,,,Lisää kirjaan,
,Stark,,,,,,Karu,
,New set,,,,,,Uusi ryhmä,
,No link,,,,,,Ei linkkiä,
,Add Link,,,,,,Lisää linkki,
,Edit Link,,,,,,Muokkaa linkkiä,
,outdated,,,,,,vanhentunut,
,Is not one of,,,,,,Ei ole yksikään,
,Re-index site,,,,,,Indeksoi sivusto uudelleen,
,Log searches,,,,,,Kirjaa haut,
,Are you sure you want to re-index the site?,,,,,,"Oletko varma, että haluat indeksoida sivuston uudelleen?",
,cURL,,,,,,cURL,
,Save and continue,,,,,,Tallenna ja jatka,
,Row,,,,,,Rivi,
,Date settings,,,,,,Päivämääräasetukset,
,Table name prefix,,,,,,Taulun nimen etuliite,
,Migration,,,,,,Migraatio,
,Maximum height,,,,,,Maksimikorkeus,
,Maximum width,,,,,,Maksimileveys,
,Autocomplete matching,,,,,,Automaattinen täydennys,
,Starts with,,,,,,Alkaa,
,Link options,,,,,,Linkin asetukset,
,Timor-Leste,,,,,,Itä-Timor,
,Åland Islands,,,,,,Ahvenanmaa,
,Properties,,,,,,Ominaisuudet,
,Cached,,,,,,Välimuistissa,
,Autocomplete,,,,,,Automaattinen täydennys,
,Difficulty,,,,,,Vaikeusaste,
,Boolean,,,,,,Totuusarvo,
,Maximum image resolution,,,,,,Suurin kuvaresoluutio,
,An illegal choice has been detected. Please contact the site administrator.,,,,,,Kelpaamaton valinta havaittu.  Ota yhteyttä sivuston ylläpitäjään.,
,Tips,,,,,,Ohjeita,
,Bundles,,,,,,Paketit,
,Not writable,,,,,,Ei kirjoitettavissa,
,Bundle,,,,,,Paketti,
,Decimal point,,,,,,Desimaalipiste,
,Configuration name,,,,,,Asetusten nimi,
,Custom date format,,,,,,Mukautettu päivämäärämuoto,
,Book outline,,,,,,Kirjan hierarkia,
,This will be the top-level page in this book.,,,,,,Tästä tulee kirjan ylin sivu.,
,Revision information,,,,,,Version tiedot,
,Notify user of new account,,,,,,Ilmoita käyttäjälle uudesta tilistä,
,Created timestamp,,,,,,Luotu-aikaleima,
,Is one of,,,,,,On yksi,
,View comment,,,,,,Näytä kommentti,
,Access will be granted to users with the specified permission string.,,,,,,Käyttöoikeudet myönnetään tietyn käyttöoikeuden omaaville käyttäjille.,
,Decimal value,,,,,,Desimaaliarvo,
,Comma,,,,,,Pilkku,
,Show All,,,,,,Näytä kaikki,
,Uses,,,,,,Käyttää,
,Path to custom icon,,,,,,Oman pikakuvakkeen polku,
,Your email address,,,,,,Sähköpostiosoitteesi,
,‹,,,,,,‹,
,›,,,,,,›,
,Users who have created accounts on your site.,,,,,,Käyttäjät jotka ovat luoneet käyttäjätilit sivustollesi.,
,Current user,,,,,,Tämänhetkinen käyttäjä,
,Delete comment,,,,,,Poista kommentti,
,Reply to comment,,,,,,Vastaa kommenttiin,
,Default display mode,,,,,,Oletusnäkymä,
,Default comments per page,,,,,,Oletusmäärä sivua kohti,
,Comment subject field,,,,,,Kommentin otsikkokenttä,
,Any replies to this comment will be lost. This action cannot be undone.,,,,,,Kaikki tämän kommentin vastaukset poistetaan. Tätä ei voi perua.,
,Publish the selected comments,,,,,,Julkaise valitut kommentit,
,Unpublish the selected comments,,,,,,Peruuta valittujen kommenttien julkaisu,
,(No subject),,,,,,(Ei aihetta),
,!=,,,,,,!=,
,Is empty (NULL),,,,,,On tyhjä (NULL),
,not empty,,,,,,ei tyhjä,
,Access type,,,,,,Pääsytyyppi,
,Default image,,,,,,Oletuskuva,
,Add feed,,,,,,Lisää syöte,
,List links,,,,,,Listaa linkit,
,Text settings,,,,,,Tekstiasetukset,
,Ends with,,,,,,Päättyy merkkeihin,
,Toolbar,,,,,,Työkalupalkki,
,Posted in,,,,,,Kirjoitus,
,Comment: unauthorized comment submitted or comment submitted to a closed post %subject.,,,,,,Kommentti: lisätty luvaton kommentti tai kommentti lisätty suljettuun kirjoitukseen %subject.,
,Link this field to its user,,,,,,Linkitä kenttä käyttäjäänsä,
,RDF mapping,,,,,,RDF kartoitus,
,Parent ID,,,,,,Isännän ID,
,Default style,,,,,,Vakiotyyli,
,The node ID of the node.,,,,,,Solmun ID.,
,Tab weight,,,,,,Välilehden painoarvo,
,Delete all revisions,,,,,,Poista kaikki versiot,
,No role,,,,,,Ei roolia,
,Block title.,,,,,,Lohkon otsikko.,
,1 view,@count views,,,,,1 katselukerta,@count katselukertaa
,The file's MIME type.,,,,,,Tiedoston MIME-tyyppi.,
,The size of the file.,,,,,,Tiedoston koko.,
,The MIME type of the file.,,,,,,Tiedoston MIME-tyyppi.,
,@type %title has been created.,,,,,,@type %title on lisätty.,
,@type %title has been updated.,,,,,,@type %title on päivitetty.,
,The post could not be saved.,,,,,,Kirjoitusta ei voitu tallentaa.,
,Menu link ID,,,,,,Valikkolinkin ID,
,1 character,@count characters,,,,,1 merkki,@count merkkiä
,Filter settings,,,,,,Suodattimien asetukset,
,You do not have any administrative items.,,,,,,Sinulla ei ole ylläpidon tehtäviä.,
,No help is available for module %module.,,,,,,Moduulille %module ei ole ohjeita.,
,@module administration pages,,,,,,Moduulin @module ylläpito,
,Filter the view to the currently logged in user.,,,,,,Filtrera vyn till den nuvarande inloggade användaren.,
,Save translation,,,,,,Tallenna käännös,
,AM,,,,,,a.p.,
,PM,,,,,,i.p.,
,PHP extensions,,,,,,PHP-lisäosat,
,Comments per page,,,,,,Kommenttia sivua kohti,
,Publish comment,,,,,,Julkaise kommentti,
,The file could not be uploaded.,,,,,,Tiedoston lataaminen epäonnistui.,
,Export configuration,,,,,,Vie asetukset,
,FTP,,,,,,FTP,
,Collaboration,,,,,,Kollaboraatio,
,Administration pages,,,,,,Hallintasivut,
,Capitalize first letter,,,,,,Capitalize first letter,
,The website encountered an unexpected error. Please try again later.,,,,,,Sivustolla tapahtui odottamaton virhe. Yritä myöhemmin uudelleen.,
,User %name used one-time login link at time %timestamp.,,,,,,Käyttäjä %name käytti kertakäyttöisen sisäänkirjautumislinkin %timestamp.,
,Registration successful. You are now logged in.,,,,,,Rekisteröityminen onnistui. Olet nyt kirjautunut sisään.,
,Uid,,,,,,Uid,
,Custom text,,,,,,Muokattu teksti,
,Sum,,,,,,Summa,
,The comment body.,,,,,,Kommentin sisältö.,
,Default argument,,,,,,Oletusargumentti,
,sorted by,,,,,,lajiteltuna,
,Feed display options,,,,,,Syötteen näyttöasetukset,
,Available actions,,,,,,Saatavilla olevat toimenpiteet,
,Remove group,,,,,,Poista ryhmä,
,The comment ID.,,,,,,Kommentin ID.,
,Link settings,,,,,,Linkkiasetukset,
,Numbered list,,,,,,Numeroitu lista,
,View comments,,,,,,Näytä kommentit,
,Not set,,,,,,Ei asetettu,
,Set password,,,,,,Aseta salasana,
,%name: this field cannot hold more than @count values.,,,,,,%name: kentällä ei voi olla enempää arvoja kuin @count.,
,No fields available.,,,,,,Yhtään kenttää ei ole saatavilla.,
,Content author,,,,,,Sisällön luoja,
,Vertical Tabs,,,,,,Pystyvälilehdet,
,Not in book,,,,,,Ei kirjasssa,
,New book,,,,,,Uusi kirja,
,By @name on @date,,,,,,@name päivänä @date,
,By @name,,,,,,@name,
,Not in menu,,,,,,Ei valikossa,
,Alias: @alias,,,,,,Alias: @alias,
,No alias,,,,,,Ei aliasta,
,Source language,,,,,,Lähdekieli,
,Initializing.,,,,,,Aloitetaan,
,An error has occurred.,,,,,,Tapahtui virhe.,
,Your page will be a part of the selected book.,,,,,,Sivusi lisätään valittuun kirjaan.,
,Numeric,,,,,,Numeerinen,
,mobile,,,,,,mobiili,
,Custom URL,,,,,,Mukautettu URL,
,Notify user,,,,,,Ilmoita käyttäjälle,
,0 sec,,,,,,0 s,
,Submit button text,,,,,,Lähetyspainikkeen teksti,
,Card,,,,,,Kortti,
,Is published,,,,,,Julkaistu,
,Configure @block,,,,,,Muokkaa lohkoa @block,
,Filter log messages,,,,,,Suodata lokiviestit,
,You must select something to filter by.,,,,,,Sinun on valittava suodatusehto.,
,New revision,,,,,,Uusi versio,
,Callback,,,,,,Paluufunktio,
,You have tried to use a one-time login link that has expired. Please request a new one using the form below.,,,,,,Olet yrittänyt käyttää vanhentunutta kertakäyttöistä kirjautumislinkkiä. Ole hyvä ja pyydä uusi linkki allaolevalla lomakkeella.,
,This login can be used only once.,,,,,,<p>Tätä kirjautumista voi käyttää vain kerran.</p>,
,Add comment link,,,,,,Lisää kommenti -linkki,
,Strike-through,,,,,,Yliviivattu,
,Align left,,,,,,Tasaa vasen reuna,
,Align center,,,,,,Keskitä,
,Align right,,,,,,Tasaa oikea reuna,
,Justify,,,,,,Tasaa molemmat reunat,
,Horizontal rule,,,,,,Vaakaviiva,
,Paste Text,,,,,,Liitä teksti,
,Paste from Word,,,,,,Liitä Wordista,
,Remove format,,,,,,Poista muotoilu,
,Character map,,,,,,Merkkikartta,
,HTML block format,,,,,,HTML-kappaleen muotoilu,
,Font style,,,,,,Fonttityyli,
,Abbreviation,,,,,,Lyhennetty muoto,
,Inserted,,,,,,Lisätty,
,Provide a password for the new account in both fields.,,,,,,Anna uuden käyttäjätilin salasana molempiin kenttiin.,
,Changes cannot be made to a locked view.,,,,,,Lukittua näkymää ei voi muokata.,
,Create customized lists and queries from your database.,,,,,,Luo yksilöityjä listoja ja kyselyitä tietokannastasi.,
,Broken/missing handler,,,,,,Rikkinäinen/puuttuva hallintakomento,
,Current date,,,,,,Tämänhetkinen päivämäärä,
,Current node's creation time,,,,,,Tämän solmun luontiaika,
,Current node's update time,,,,,,Tämän solmun viimeisin päivitysaika,
,Do not display items with no value in summary,,,,,,Älä näytä yhteenvedossa argumentteja joilla ei ole arvoa,
,Invalid input,,,,,,Kielletty syöte,
,Fail basic validation if any argument is given,,,,,,Älä päästä validoinnista läpi jos argumentteja on syötetty,
,"By checking this field, you can use this to make sure views with more arguments than necessary fail validation.",,,,,,Aktivoimalla tämän ominaisuuden voit varmistaa että näkymät joissa on tarpeellista enemmän argumentteja eivät läpäise validointia.,
,Glossary mode,,,,,,Sanalistamuoto,
,Character limit,,,,,,Kirjainmäärärajoitus,
,No transform,,,,,,Ei muunnosta,
,Upper case,,,,,,Isot kirjaimet,
,Lower case,,,,,,Pienet kirjaimet,
,Capitalize each word,,,,,,Muuta jokaisen sanan ensimmäinen kirjain isoksi kirjaimeksi,
,Case in path,,,,,,Isot / pienet kirjaimet polussa,
,Transform spaces to dashes in URL,,,,,,Muunna välilyönnit alaviivoiksi URLeissa,
,Exclude from display,,,,,,Piilota näkymässä,
,Link path,,,,,,Linkin polku,
,"The Drupal path or absolute URL for this link. You may enter data from this view as per the ""Replacement patterns"" below.",,,,,,"Absoluuttinen Drupal-polku tälle linkille. Voit syöttää dataa tälle näkymälle allaolevien ""korvauskuvioiden"" pohjalta.",
,The CSS class to apply to the link.,,,,,,Linkissä käytettävät CSS-luokat.,
,Prefix text,,,,,,Aloitusteksti,
,Any text to display before this link. You may include HTML.,,,,,,Mitä tahansa tekstiä jota näytetään ennen kenttää. Voit käyttää HTML:ää.,
,Suffix text,,,,,,Pääteteksti,
,Any text to display after this link. You may include HTML.,,,,,,Linkin jälkeen esitettävä teksti. Teksti voi sisältää HTML:ää.,
,Trim only on a word boundary,,,,,,Trimmaa vain sanojen välistä,
,"If checked, this field be trimmed only on a word boundary. This is guaranteed to be the maximum characters stated or less. If there are no word boundaries this could trim a field to nothing.",,,,,,"Mikäli valittuna, kenttä rajataan ainoastaan sanojen välistä. Tämä on korkeintaan suurin määritelty kirjainmäärä. Jos sanojen rajoja ei ole, tämä voi trimmata kentän tyhjäksi.",
,Strip HTML tags,,,,,,Poista HTML tagit,
,Field can contain HTML,,,,,,Kenttä voi sisältää HTML:ää,
,File size display,,,,,,Tiedostokoon näyttö,
,Formatted (in KB or MB),,,,,,Formatoitu (Kilobitteinä tai Megabitteinä),
,Raw bytes,,,,,,Raakabittejä,
,"If checked, true will be displayed as false.",,,,,,"Mikäli valittuna, true näytetään falsena.",
,"Time ago (with ""ago"" appended)",,,,,,Aikaa sitten (menneen ajan kanssa),
,"Time span (with ""ago/hence"" appended)",,,,,,"Aikaväli (lisättynä ""sitten/siten"")",
,Round,,,,,,Pyöristä,
,"If checked, the number will be rounded.",,,,,,Jos valittuna arvo pyöristetään.,
,Specify how many digits to print after the decimal point.,,,,,,Määrittele kuinka monta lukua näytetään desimaalipilkun jälkeen.,
,What single character to use as a decimal point.,,,,,,Mitä yksittäistä merkkiä käytetään desimaalipisteenä.,
,What single character to use as the thousands separator.,,,,,,Mitä merkkiä käytetään tuhatlukujen erottajana.,
,"Text to put before the number, such as currency symbol.",,,,,,"Numeroa ennen sijoitettava teksti, esimerkiksi valuuttayksikön merkki.",
,"Text to put after the number, such as currency symbol.",,,,,,"Numeron jälkeen sijoitettava teksti, esimerkiksi valuuttayksikön merkki.",
,Simple separator,,,,,,Yksinkertainen erottaja,
,Display as link,,,,,,Näytä linkkinä,
,Operator identifier,,,,,,Operaattorin tunnistin,
,This will appear in the URL after the ? to identify this operator.,,,,,,Tämä näytetään URLissa merkin ? jälkeen operaattorin tunnistamiseksi.,
,Filter identifier,,,,,,Suodattimen tunnistin,
,This exposed filter is optional and will have added options to allow it not to be set.,,,,,,Tämä suodatin on vaihtoehtoinen ja sillä on lisävalinta jonka avulla voidaan laittaa se asettamattomaan tilaan.,
,Remember,,,,,,Muista,
,Remember the last setting the user gave this filter.,,,,,,Muista käyttäjän viimeisin tälle suodattimelle valittu arvo.,
,The identifier is required if the filter is exposed.,,,,,,Tunnistin on pakollinen kentän ollessa näytettynä käyttäjille.,
,This identifier is not allowed.,,,,,,Tunnistin on kielletty.,
,- Any -,,,,,,- Kaikki -,
,exposed,,,,,,näytetty,
,Value type,,,,,,Arvon tyyppi,
,A date in any machine readable format. CCYY-MM-DD HH:MM:SS is preferred.,,,,,,Järjestelmän luettavassa muodossa oleva päivämäärä. Suositeltu muoto: CCYY-MM-DD HH:MM:SS,
