msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,Enabling CKEditor for individual text formats,,,,,,,
,Configuring the toolbar,,,,,,,
,Formatting content,,,,,,,
,Toggling between formatted text and HTML source,,,,,,,
,Uploads disabled,,,,,,,
,"Uploads enabled, max size: @size @dimensions",,,,,,,
,Edit Image,,,,,,,
,Drupal link,,,,,,,
,CKEditor plugin settings,,,,,,,
,Could not extract the contents of the tar file. The error message is <em>@message</em>,,,,,,,
,Discard changes?,,,,,,,
,Enable image uploads,,,,,,,
,Storage: @name,,,,,,,
,A directory relative to Drupal's files directory where uploaded images will be stored.,,,,,,,
,"If this is left empty, then the file size will be limited by the PHP maximum upload size of @size.",,,,,,,
,Images larger than these dimensions will be scaled down.,,,,,,,
,Installing text editors,,,,,,,
,Enabling a text editor for a text format,,,,,,,
,Configuring a text editor,,,,,,,
,"Once a text editor is associated with a text format, you can configure it by clicking on the <em>Configure</em> link for this format. Depending on the specific text editor, you can configure it for example by adding buttons to its toolbar. Typically these buttons provide formatting or editing tools, and they often insert HTML tags into the field source. For details, see the help page of the specific text editor.",,,,,,,
,Using different text editors and formats,,,,,,,
,Placeholder: @placeholder,,,,,,,
,No placeholder,,,,,,,
,"Add, edit, and delete custom display modes.",,,,,,,
,Edit form mode,,,,,,,
,Choose view mode entity type,,,,,,,
,Choose form mode entity type,,,,,,,
,Saved the %label @entity-type.,,,,,,,
,Autocomplete matching: @match_operator,,,,,,,
,The referenced entity (%type: %id) does not exist.,,,,,,,
Sort order,Order,,,,,,,
,%entity_label: Administer form display,,,,,,,
,Plugin for @title,,,,,,,
,@type (module: @module),,,,,,,
,Widget settings:,,,,,,,
,The label of the entity that is related to the file.,,,,,,,
,Access the Files overview page,,,,,,,
,Progress indicator: @progress_indicator,,,,,,,
,"The %filter filter is missing, and will be removed once this format is saved.",,,,,,,
,"Lines and paragraphs are automatically recognized. The &lt;br /&gt; line break, &lt;p&gt; paragraph and &lt;/p&gt; close paragraph tags are inserted automatically. If paragraphs are not recognized simply add a couple of blank lines.",,,,,,,
,Missing filter. All text is removed,,,,,,,
,Missing filter plugin: %filter.,,,,,,,
,Provides a fallback for missing filters. Do not use.,,,,,,,
,Updated @type %term.,,,,,,,
,Add image style,,,,,,,
,Preview image style: @style,,,,,,,
,"Deleting a language will remove all interface translations associated with it, and content in this language will be set to be language neutral. This action cannot be undone.",,,,,,,
,No placeholders,,,,,,,
,Title placeholder: @placeholder_title,,,,,,,
,URL placeholder: @placeholder_url,,,,,,,
,Note that importing large .po files may take several minutes.,,,,,,,
,"Content items can be edited using different form modes. Here, you can define which fields are shown and hidden when %type content is edited in each form mode, and define how the field form widgets are displayed in each form mode.",,,,,,,
,Edit %label content type,,,,,,,
,"The content has either been modified by another user, or you have already submitted modifications. As a result, your changes cannot be saved.",,,,,,,
,Use field label: @display_label,,,,,,,
,Provides a row plugin to display search results.,,,,,,,
,A local file system path where public files will be stored. This directory must exist and be writable by Drupal. This directory must be relative to the Drupal installation directory and be accessible over the web. This must be changed in settings.php,,,,,,,
,%name: the telephone number may not be longer than @max characters.,,,,,,,
,%name: the text may not be longer than @max characters.,,,,,,,
,Summary rows,,,,,,,
,This form lets administrators add and edit fields for storing user data.,,,,,,,
,This form lets administrators configure how form fields should be displayed when editing a user profile.,,,,,,,
,"Alter the HTTP response status code used by this view, mostly helpful for empty results.",,,,,,,
,HTTP status code,,,,,,,
,Always display the more link,,,,,,,
,Check this to display the more link even if there are no more items to display.,,,,,,,
,Make entity label a link to entity page.,,,,,,,
,"You must add some additional fields to this display before using this field. These fields may be marked as <em>Exclude from display</em> if you prefer. Note that due to rendering order, you cannot use fields that come after this field; if you need a field not listed here, rearrange your fields.",,,,,,,
,Automatic width,,,,,,,
,Default column classes,,,,,,,
,Custom column class,,,,,,,
,Additional classes to provide on each column. Separated by a space.,,,,,,,
,Default row classes,,,,,,,
,"Adds the default views row classes like views-row, row-1 and clearfix to the output. You can use this to quickly reduce the amount of markup the view provides by default, at the cost of making it more difficult to apply CSS.",,,,,,,
,Custom row class,,,,,,,
,Additional classes to provide on each row. Separated by a space.,,,,,,,
,Default wizard,,,,,,,
,"All Views-generated queries will include the name of the views and display 'view-name:display-name' as a string at the end of the SELECT clause. This makes identifying Views queries in database server logs simpler, but should only be used when troubleshooting.",,,,,,,
,Selected:,,,,,,,
Validation,Allowed values,,,,,,,
,You must select at least %limit choice.,You must select at least %limit choices.,,,,,,
,You must select at most %limit choice.,You must select at most %limit choices.,,,,,,
Validation,Bundle,,,,,,,
,The entity must be of bundle %bundle.,,,,,,,
Validation,Complex data,,,,,,,
Validation,Count,,,,,,,
,This collection should contain %limit element or more.,This collection should contain %limit elements or more.,,,,,,
,This collection should contain %limit element or less.,This collection should contain %limit elements or less.,,,,,,
,This collection should contain exactly %limit element.,This collection should contain exactly %limit elements.,,,,,,
Validation,Entity type,,,,,,,
,The entity must be of type %type.,,,,,,,
Validation,Length,,,,,,,
,This value is too long. It should have %limit character or less.,This value is too long. It should have %limit characters or less.,,,,,,
,This value is too short. It should have %limit character or more.,This value is too short. It should have %limit characters or more.,,,,,,
,This value should have exactly %limit character.,This value should have exactly %limit characters.,,,,,,
Validation,Primitive type,,,,,,,
,This value should be of the correct primitive type.,,,,,,,
Validation,Range,,,,,,,
,This value should be %limit or less.,,,,,,,
Validation,Entity Reference valid reference,,,,,,,
Validation,User name,,,,,,,
Validation,User name unique,,,,,,,
,%name must be higher than or equal to %min.,,,,,,,
,%name must be lower than or equal to %max.,,,,,,,
Validation,Entity changed,,,,,,,
,Select the feed that should be displayed,,,,,,,
,Creating and managing custom block types,,,,,,,
,Custom block library,,,,,,,
,The custom block language code.,,,,,,,
,The time that the custom block was last edited.,,,,,,,
,Block category,,,,,,,
,Hide block if the view output is empty,,,,,,,
,Block empty settings,,,,,,,
,Hide block if no result/empty text,,,,,,,
,Hide the block if there is no result and no empty text and no header/footer which is shown on empty result,,,,,,,
,Enter caption here,,,,,,,
,Drupal image caption widget,,,,,,,
,The number of comments posted on an entity.,,,,,,,
,The number of comments posted on an entity since the reader last viewed it.,,,,,,,
,The entity the comment was posted to.,,,,,,,
,The @entity_type to which the comment is a reply to.,,,,,,,
,The number of comments an entity has.,,,,,,,
,Display the last comment of an entity,,,,,,,
,The last comment of an entity.,,,,,,,
,The entity type to which the comment is a reply to.,,,,,,,
,Display nodes only if a user posted the @entity_type or commented on the @entity_type.,,,,,,,
,Comments of the @entity_type using field: @field_name,,,,,,,
,Edit comment %title,,,,,,,
,The ID of the entity of which this comment is a reply.,,,,,,,
,The entity type to which this comment is attached.,,,,,,,
,Comment field name,,,,,,,
,The field name through which this comment was added.,,,,,,,
,Last comment ID,,,,,,,
,Last comment timestamp,,,,,,,
,The time that the last comment was created.,,,,,,,
,Last comment name,,,,,,,
,The name of the user posting the last comment.,,,,,,,
,Last comment user ID,,,,,,,
,The number of comments.,,,,,,,
,This field manages configuration and presentation of comments on an entity.,,,,,,,
,Comment list,,,,,,,
,Select source language,,,,,,,
,Computed date,,,,,,,
,The computed DateTime object.,,,,,,,
,Log entries,,,,,,,
,Contains a list of log entries.,,,,,,,
,WID,,,,,,,
,The user on which the log entry as written.,,,,,,,
,The actual message of the log entry.,,,,,,,
,The variables of the log entry in a serialized format.,,,,,,,
,Operation links for the event.,,,,,,,
,URL of the previous page.,,,,,,,
,Replace variables,,,,,,,
,One file only.,Maximum @count files.,,,,,,
,Delete forum,,,,,,,
,Configure language support for content.,,,,,,,
,Managing and displaying link fields,,,,,,,
,Adding link text,,,,,,,
,Displaying link text,,,,,,,
,Adding attributes to links,,,,,,,
,Validating URLs,,,,,,,
,Number (decimal),,,,,,,
,Number (float),,,,,,,
,Number (integer),,,,,,,
,Alias for @id,,,,,,,
,Raw output for @id,,,,,,,
,The uninstall process removes all data related to a module.,,,,,,,
,The date the term was last updated.,,,,,,,
,The time that the term was last edited.,,,,,,,
,Managing and displaying telephone fields,,,,,,,
,Displaying telephone numbers as links,,,,,,,
,The user account %name cannot be canceled.,,,,,,,
,Default actions,,,,,,,
,Grouping @id,,,,,,,
,Columns for @field,,,,,,,
,Sortable for @field,,,,,,,
,Default sort order for @field,,,,,,,
,Default sort for @field,,,,,,,
,Alignment for @field,,,,,,,
,Separator for @field,,,,,,,
,Hide empty column for @field,,,,,,,
,Responsive setting for @field,,,,,,,
,No default sort,,,,,,,
,Page display settings,,,,,,,
,Block display settings,,,,,,,
,View basic information,,,,,,,
,Always show the master (default) display,,,,,,,
,Allow embedded displays,,,,,,,
,Embedded displays can be used in code via views_embed_view().,,,,,,,
,Show SQL query,,,,,,,
,Remove @title,,,,,,,
,Weight for @id,,,,,,,
,Group for @id,,,,,,,
,Remove @id,,,,,,,
,PHP date format,,,,,,,
,@group: @title,,,,,,,
,Not fully protected,,,,,,,
,"Could not load the form for <q>@field-label</q>, either due to a website problem or a network connection problem.<br>Please try again.",,,,,,,
,Number of new comments,,,,,,,
,Lists (Views),,,,,,,
,Button divider,,,,,,,
,CKEditor toolbar and button configuration.,,,,,,,
,Hide group names,,,,,,,
,Show group names,,,,,,,
,Press the down arrow key to create a new row.,,,,,,,
,@name @type.,,,,,,,
,Press the down arrow key to activate.,,,,,,,
,This is the last group. Move the button forward to create a new group.,,,,,,,
,"The ""@name"" button is currently enabled.",,,,,,,
,Use the keyboard arrow keys to change the position of this button.,,,,,,,
,Press the up arrow key on the top row to disable the button.,,,,,,,
,"The ""@name"" button is currently disabled.",,,,,,,
,Use the down arrow key to move this button into the active toolbar.,,,,,,,
,This @name is currently enabled.,,,,,,,
,Use the keyboard arrow keys to change the position of this separator.,,,,,,,
,Separators are used to visually split individual buttons.,,,,,,,
,This @name is currently disabled.,,,,,,,
,Use the down arrow key to move this separator into the active toolbar.,,,,,,,
,You may add multiple separators to each button group.,,,,,,,
,Please provide a name for the button group.,,,,,,,
,Button group name,,,,,,,
,Place a button to create a new button group.,,,,,,,
,Add a CKEditor button group to the end of this row.,,,,,,,
,Simple configuration,,,,,,,
,Configuration type,,,,,,,
,Here is your configuration:,,,,,,,
,Are you sure you want to update the %name @type?,,,,,,,
,@label fields,,,,,,,
,"Enter block, theme or category",,,,,,,
,"Enter a part of the block, theme or category to filter by.",,,,,,,
,Translations for %label,,,,,,,
,@language (original),,,,,,,
,Enter label,,,,,,,
,Enter a part of the label or description to filter by.,,,,,,,
,Enter field or @bundle,,,,,,,
,Successfully saved @language translation.,,,,,,,
,Successfully updated @language translation.,,,,,,,
,(Empty),,,,,,,
,Feed channel,,,,,,,
,About text formats,,,,,,,
,The image style %name has been flushed.,,,,,,,
,Image to be shown if no image is uploaded.,,,,,,,
,Action title,,,,,,,
,- Restricted access -,,,,,,,
,Workflow type,,,,,,,
,Display block title,,,,,,,
,List of items,,,,,,,
,The ID of the feed item.,,,,,,,
,Placing and moving blocks,,,,,,,
,Demonstrating block regions for a theme,,,,,,,
,Toggling between different themes,,,,,,,
,Configuring block settings,,,,,,,
,"You can control the visibility of a block by restricting it to specific pages, content types, and/or roles by setting the appropriate options under <em>Visibility settings</em> of the block configuration.",,,,,,,
,Adding custom blocks,,,,,,,
,Custom block ID,,,,,,,
,Pager ID: @id,,,,,,,
,The sender's email,,,,,,,
,The email of the person that is sending the contact message.,,,,,,,
,Managing and displaying file fields,,,,,,,
,Allowing file extensions,,,,,,,
,Restricting the maximum file size,,,,,,,
,Displaying files and descriptions,,,,,,,
,The log entry explaining the changes in this revision.,,,,,,,
,At least one authentication provider must be defined for resource @id,,,,,,,
,At least one format must be defined for resource @id,,,,,,,
,The ID of the shortcut.,,,,,,,
,The UUID of the shortcut.,,,,,,,
,The bundle of the shortcut.,,,,,,,
,Route name,,,,,,,
,The language code of the shortcut.,,,,,,,
,Shortcut link,,,,,,,
,Rebuild access,,,,,,,
,Taxonomy term ID,,,,,,,
,Taxonomy term name,,,,,,,
,The name of this user.,,,,,,,
,The email of this user.,,,,,,,
,The timezone of this user.,,,,,,,
,The time that the user was created.,,,,,,,
,Adding functionality to administrative pages,,,,,,,
,Validate @label,,,,,,,
,Validate user has access to the %name,,,,,,,
,Multiple arguments,,,,,,,
,Single ID,,,,,,,
,"One or more IDs separated by , or +",,,,,,,
,Tag based,,,,,,,
,Tag based caching of data. Caches will persist until any related cache tags are invalidated.,,,,,,,
,Name and description,,,,,,,
,Administrative tags,,,,,,,
,Enter a comma-separated list of words to describe your view.,,,,,,,
,Defines a field type for telephone numbers.,,,,,,,
,The aggregator feed UUID.,,,,,,,
,simple configuration,,,,,,,
,The date the file created.,,,,,,,
,The timestamp that the file was created.,,,,,,,
,The timestamp that the file was last changed.,,,,,,,
,Language based on a selected language.,,,,,,,
,Menu links with lower weights are displayed before links with higher weights.,,,,,,,
,The name of the user role.,,,,,,,
,Influence,,,,,,,
,Influence is a numeric multiplier used in ordering search results. A higher number means the corresponding factor has more influence on search results; zero means the factor is ignored. Changing these numbers does not require the search index to be rebuilt. Changes take effect immediately.,,,,,,,
,Search page type,,,,,,,
,- Choose page type -,,,,,,,
,No search pages have been configured.,,,,,,,
,You must select the new search page type.,,,,,,,
,Edit %label search page,,,,,,,
,The %label search page has been enabled.,,,,,,,
,The %label search page has been disabled.,,,,,,,
,The %label search page has been added.,,,,,,,
,Save search page,,,,,,,
,The %label search page has been updated.,,,,,,,
,The label for this search page.,,,,,,,
,The search page path must be unique.,,,,,,,
,Managing and displaying text fields,,,,,,,
,Creating short text fields,,,,,,,
,Creating long text fields,,,,,,,
,Trimming the text length,,,,,,,
,Displaying summaries instead of trimmed text,,,,,,,
,Using text formats and editors,,,,,,,
Text alignment,Left,,,,,,,
Text alignment,Center,,,,,,,
Text alignment,Right,,,,,,,
,%name: may not be longer than @max characters.,,,,,,,
,"<abbr title=""Outline Processor Markup Language"">OPML</abbr> integration",,,,,,,
,Resolution multiplier,,,,,,,
,"Resolution multipliers are a measure of the viewport's device resolution, defined to be the ratio between the physical pixel size of the active device and the <a href=""http://en.wikipedia.org/wiki/Device_independent_pixel"">device-independent pixel</a> size. The Breakpoint module defines multipliers of 1, 1.5, and 2; when defining breakpoints, modules and themes can define which multipliers apply to each breakpoint.",,,,,,,
,Defining breakpoints and breakpoint groups,,,,,,,
,"Modules and themes can use the API provided by the Breakpoint module to define breakpoints and breakpoint groups, and to assign resolution multipliers to breakpoints.",,,,,,,
Validation,Comment author name,,,,,,,
,Changing the text format to %text_format will permanently remove content that is not allowed in that text format.<br><br>Save your changes before switching the text format to avoid losing data.,,,,,,,
,Change text format?,,,,,,,
,Entity view display,,,,,,,
,Managing and displaying entity reference fields,,,,,,,
,Selecting reference type,,,,,,,
,In the field settings you can select which entity type you want to create a reference to.,,,,,,,
,Filtering and sorting reference fields,,,,,,,
,"Depending on the chosen entity type, additional filtering and sorting options are available for the list of entities that can be referred to, in the field settings. For example, the list of users can be filtered by role and sorted by name or ID.",,,,,,,
,Displaying a reference,,,,,,,
,Managing text formats,,,,,,,
,Assigning roles to text formats,,,,,,,
,Selecting filters,,,,,,,
,The keywords to search for.,,,,,,,
,Choosing list field type,,,,,,,
,The vocabulary to which the term is assigned.,,,,,,,
,Timestamp value,,,,,,,
,An entity field containing a UNIX timestamp value.,,,,,,,
,"Sends the message as plain text, using PHP's native mail() function.",,,,,,,
,Mail collector,,,,,,,
,"Does not send the message, but stores it in Drupal within the state system. Used for testing.",,,,,,,
,Synchronizing configuration,,,,,,,
,Starting configuration synchronization.,,,,,,,
,Configuration synchronization has encountered an error.,,,,,,,
,Nothing to export.,,,,,,,
,Administer responsive images,,,,,,,
,Defined on the Appearance or Theme Settings page. You do not have the appropriate permissions to change the site logo.,,,,,,,
,Defined on the Site Information page. You do not have the appropriate permissions to change the site logo.,,,,,,,
,Toggle branding elements,,,,,,,
,Choose which branding elements you want to show in this block instance.,,,,,,,
,Rendering language,,,,,,,
,Form build-id mismatch detected while attempting to store a form in the cache.,,,,,,,
,Synchronizing configuration: @op @name.,,,,,,,
,"Deleted and replaced configuration ""@name""",,,,,,,
,"Update target ""@name"" is missing.",,,,,,,
,%name: The integer must be larger or equal to %min.,,,,,,,
,Size of URI field,,,,,,,
,URI field,,,,,,,
,Are you sure you want to delete all items from the feed %feed?,,,,,,,
,The news items from %site have been deleted.,,,,,,,
,A brief description of your block.,,,,,,,
,no caching,,,,,,,
,Completed @current step of @total.,,,,,,,
,The configuration synchronization failed validation.,,,,,,,
,Allowed link type,,,,,,,
,Internal links only,,,,,,,
,Both internal and external links,,,,,,,
,Checking the translation status,,,,,,,
,Translating individual strings,,,,,,,
,Format ID.,,,,,,,
,(this translation),,,,,,,
,(all translations),,,,,,,
,Search is currently disabled,,,,,,,
,No screenshot,,,,,,,
,Configuration deletions,,,,,,,
,The listed configuration will be deleted.,,,,,,,
,User's roles,,,,,,,
,"One or more names separated by , or +",,,,,,,
,"If none are selected, all are allowed.",,,,,,,
,Missing row plugin,,,,,,,
,Tab options,,,,,,,
,Enable menu link,,,,,,,
,Allowed HTML,,,,,,,
,Providing module,,,,,,,
,@label entities,,,,,,,
,Synchronizing configuration: @op @name in @collection.,,,,,,,
Entity type group,Content,,,,,,,
Entity type group,Other,,,,,,,
Entity type group,Configuration,,,,,,,
,Action ID,,,,,,,
,Action configuration,,,,,,,
,Action description,,,,,,,
,The feed ID.,,,,,,,
,Refresh frequency in seconds.,,,,,,,
,Last-checked unix timestamp.,,,,,,,
,When the feed was last modified.,,,,,,,
,The block numeric identifier.,,,,,,,
,The module providing the block.,,,,,,,
,The block's delta.,,,,,,,
,Pages list.,,,,,,,
,Cache rule.,,,,,,,
,Admin title of the block/box.,,,,,,,
,The comment title.,,,,,,,
,The {node}.type to which this comment is a reply.,,,,,,,
,The node type,,,,,,,
,Primary Key: Unique category ID.,,,,,,,
,Category name.,,,,,,,
,The category's weight.,,,,,,,
,"Type (text, integer, ....)",,,,,,,
,Global settings. Shared with every field instance.,,,,,,,
,DB storage,,,,,,,
,DB Columns,,,,,,,
,The machine name of field.,,,,,,,
,Weight.,,,,,,,
,A name to show.,,,,,,,
,Widget type.,,,,,,,
,A description of field.,,,,,,,
,Module that implements widget.,,,,,,,
,Status of widget,,,,,,,
,The module that provides the field.,,,,,,,
,Content type where this field is used.,,,,,,,
,The published status of a file.,,,,,,,
,The time that the file was added.,,,,,,,
,The Drupal files path.,,,,,,,
,TRUE if the files directory is public otherwise FALSE.,,,,,,,
,Machine name of the node type.,,,,,,,
,Human name of the node type.,,,,,,,
,The module providing the node type.,,,,,,,
,Description of the node type.,,,,,,,
,Help text for the node type.,,,,,,,
,Title label.,,,,,,,
,Body label.,,,,,,,
,Flag.,,,,,,,
,The original type.,,,,,,,
,Primary Key: Unique profile field ID.,,,,,,,
,Title of the field shown to the end user.,,,,,,,
,Explanation of the field to end users.,,,,,,,
,Type of form field.,,,,,,,
,The numeric identifier of the path alias.,,,,,,,
,The name of the vocabulary.,,,,,,,
,The description of the vocabulary.,,,,,,,
,Menu selection requires the activation of Menu UI module.,,,,,,,
,Numeric placeholders may not be used. Please use plain placeholders (%).,,,,,,,
,Route Name,,,,,,,
,Route Params,,,,,,,
,Param,,,,,,,
,Configuration dependencies,,,,,,,
,Theme dependencies,,,,,,,
,Extension settings,,,,,,,
,Redirect to URL configuration,,,,,,,
,Display a message to the user configuration,,,,,,,
,Bulk form,,,,,,,
,Admin info,,,,,,,
,Block display options,,,,,,,
,Book settings,,,,,,,
,Button groups,,,,,,,
,Button group,,,,,,,
,List of styles,,,,,,,
,Color theme settings,,,,,,,
,Palette settings,,,,,,,
,Last comment date,,,,,,,
,Entity options,,,,,,,
,Translate @type_name,,,,,,,
,Personal contact form enabled by default,,,,,,,
,Content translation link,,,,,,,
,Contextual link,,,,,,,
,Delete form mode,,,,,,,
,Entity view mode settings,,,,,,,
,Target entity type,,,,,,,
,Entity form mode settings,,,,,,,
,View or form mode machine name,,,,,,,
,Field display setting,,,,,,,
,Text field display format settings,,,,,,,
,Sort settings,,,,,,,
,Entity reference rendered entity display format settings,,,,,,,
,Entity reference entity ID display format settings,,,,,,,
,Entity reference label display format settings,,,,,,,
,Entity reference autocomplete (Tags style) display format settings,,,,,,,
,Entity reference autocomplete display format settings,,,,,,,
,Search field,,,,,,,
,- Hidden - format settings,,,,,,,
,Integer settings,,,,,,,
,Decimal settings,,,,,,,
,Float settings,,,,,,,
,Number decimal display format settings,,,,,,,
,Number unformatted display format settings,,,,,,,
,Number default display format settings,,,,,,,
,Reverse entity reference,,,,,,,
,Field UI settings,,,,,,,
,Enable Description field,,,,,,,
,HAL,,,,,,,
,Delete language,,,,,,,
,All language types,,,,,,,
,Language detection methods,,,,,,,
,Interface Translation,,,,,,,
,Translates the built-in user interface.,,,,,,,
,Translate interface settings,,,,,,,
,Cache strings,,,,,,,
,Overwrite non customized translations,,,,,,,
,Menu UI,,,,,,,
,Per-content type menu settings,,,,,,,
,Menu machine name,,,,,,,
,Change the author of content configuration,,,,,,,
,Node user ID,,,,,,,
,Node path,,,,,,,
,Link to a node revision,,,,,,,
,List (integer) settings,,,,,,,
,List (float) settings,,,,,,,
,List (text) settings,,,,,,,
,Options list default display settings,,,,,,,
,Key format settings,,,,,,,
,Single on/off checkbox format settings,,,,,,,
,Select list format settings,,,,,,,
,Responsive Image,,,,,,,
,RESTful Web Services,,,,,,,
,GET method settings,,,,,,,
,POST method settings,,,,,,,
,PATCH method settings,,,,,,,
,DELETE method settings,,,,,,,
,Supported format,,,,,,,
,Supported authentication,,,,,,,
,REST display options,,,,,,,
,Field row,,,,,,,
,Alias for ID,,,,,,,
,Raw output for ID,,,,,,,
,Serialized output format,,,,,,,
,Configure search pages and search indexing options.,,,,,,,
,Add new search page,,,,,,,
,AND/OR combination limit,,,,,,,
,Default search page,,,,,,,
,HTML tags weight,,,,,,,
,Tag h1 weight,,,,,,,
,Tag h2 weight,,,,,,,
,Tag h3 weight,,,,,,,
,Tag h4 weight,,,,,,,
,Tag h5 weight,,,,,,,
,Tag h6 weight,,,,,,,
,Tag b weight,,,,,,,
,Tag i weight,,,,,,,
,Tag strong weight,,,,,,,
,Tag em weight,,,,,,,
,Tag a weight,,,,,,,
,Query key,,,,,,,
,Source link,,,,,,,
,Serialization,,,,,,,
,Shortcut settings,,,,,,,
,Statistics settings,,,,,,,
,Syslog settings,,,,,,,
With components,Extend,,,,,,,
,Set as default theme,,,,,,,
,Site UUID,,,,,,,
,Authorize settings,,,,,,,
,Default file transfer protocol,,,,,,,
,Remind users at login if their time zone is not set,,,,,,,
,Logging settings,,,,,,,
,CSS performance settings,,,,,,,
,Aggregate CSS files,,,,,,,
,Compress CSS files,,,,,,,
,Fast 404 settings,,,,,,,
,Fast 404 enabled,,,,,,,
,Fast 404 page html,,,,,,,
,Menu description,,,,,,,
,Theme global settings,,,,,,,
,Maintain index table,,,,,,,
,Override selector,,,,,,,
,Number of terms per page,,,,,,,
,Taxonomy format settings,,,,,,,
,Use taxonomy term path,,,,,,,
,Taxonomy depth modifier,,,,,,,
,Taxonomy language,,,,,,,
,Taxonomy term ID with depth,,,,,,,
,Telephone link format settings,,,,,,,
,Telephone default format settings,,,,,,,
,Default summary length,,,,,,,
,Text area (multiple rows) display format settings,,,,,,,
,Number of summary rows,,,,,,,
,Route settings,,,,,,,
,Tracker settings,,,,,,,
,Cron index limit,,,,,,,
,User window,,,,,,,
,Default area,,,,,,,
,The shown text of the area,,,,,,,
,Text custom,,,,,,,
,The shown text of the result summary area,,,,,,,
,The title which will be overridden for the page,,,,,,,
,Node Creation Time,,,,,,,
,Node Update Time,,,,,,,
,Day Date,,,,,,,
,Formula,,,,,,,
,Place Holder,,,,,,,
,Formula Used,,,,,,,
,Full Date,,,,,,,
,Group by Numeric,,,,,,,
,Month Date,,,,,,,
,Week Date,,,,,,,
,Year Date,,,,,,,
,YearMonthDate,,,,,,,
,Date Year month,,,,,,,
,Basic validation,,,,,,,
,Tag based caching,,,,,,,
,Time based caching,,,,,,,
,Exposed form type,,,,,,,
,Row type,,,,,,,
,Filter groups,,,,,,,
,Display comment,,,,,,,
,Plugin ID,,,,,,,
,A unique ID per handler type,,,,,,,
,A sql aggregation type,,,,,,,
,When the filter value is NOT available,,,,,,,
,Default argument options,,,,,,,
,Convert newlines to HTML <br> tags,,,,,,,
,SQL pager,,,,,,,
,Grouping field number %i,,,,,,,
,Group items,,,,,,,
,Group item,,,,,,,
,Query comment,,,,,,,
,Default display options,,,,,,,
,Page display options,,,,,,,
,Attachment display options,,,,,,,
,Text on demand format,,,,,,,
,Default field,,,,,,,
,Drop button,,,,,,,
,Default filter,,,,,,,
,Boolean string,,,,,,,
,Group by numeric,,,,,,,
,IN operator,,,,,,,
,Reduce duplicate,,,,,,,
,Default pager,,,,,,,
,Groupwise max,,,,,,,
,Generate subquery each time view is run,,,,,,,
,RSS field options,,,,,,,
,Guid settings,,,,,,,
,Display extender,,,,,,,
,Field rewrite elements,,,,,,,
,Display plugin,,,,,,,
,Boolean sort,,,,,,,
,Date sort,,,,,,,
,Date sort expose settings,,,,,,,
,Custom row classes,,,,,,,
,Default views row classes,,,,,,,
,Custom column classes,,,,,,,
,Columns name,,,,,,,
,Columns info,,,,,,,
,Column info,,,,,,,
,Preview view,,,,,,,
,Bartik settings,,,,,,,
,Seven settings,,,,,,,
,Stark settings,,,,,,,
,Visibility Conditions,,,,,,,
,Visibility Condition,,,,,,,
,Context assignments,,,,,,,
,Display variant,,,,,,,
,Requirements review,,,,,,,
,Unable to send email. Contact the site administrator if the problem persists.,,,,,,,
,Error sending email (from %from to %to with reply-to %reply).,,,,,,,
,The label for this display variant.,,,,,,,
,%name: the email address can not be longer than @max characters.,,,,,,,
,An entity field containing an email value.,,,,,,,
,"Automated emails, such as registration information, will be sent from this address. Use an address ending in your site's domain to help prevent these emails from being flagged as spam.",,,,,,,
,Receive email notifications,,,,,,,
,Send email configuration,,,,,,,
,Enter a valid email address or use a token email address such as %author.,,,,,,,
,<em>Either</em> upload a file or enter a URL.,,,,,,,
,Show for the listed pages,,,,,,,
,Hide for the listed pages,,,,,,,
,Duplicate @display_title,,,,,,,
,Overriding default settings,,,,,,,
,"This page provides a list of all comment types on the site and allows you to manage the fields, form and display settings for each.",,,,,,,
,Comment types,,,,,,,
,Comment type %label has been updated.,,,,,,,
,Comment type %label has been added.,,,,,,,
,The comment author's email address.,,,,,,,
,Comment Type,,,,,,,
,The comment type.,,,,,,,
,"Example: 'webmaster@example.com' or 'sales@example.com,support@example.com' . To specify multiple recipients, separate each email address with a comma.",,,,,,,
,%recipient is an invalid email address.,,,,,,,
Abbreviated month name,Jan,,,,,,,
Abbreviated month name,Feb,,,,,,,
Abbreviated month name,Mar,,,,,,,
Abbreviated month name,Apr,,,,,,,
Abbreviated month name,May,,,,,,,
Abbreviated month name,Jun,,,,,,,
Abbreviated month name,Jul,,,,,,,
Abbreviated month name,Aug,,,,,,,
Abbreviated month name,Sep,,,,,,,
Abbreviated month name,Oct,,,,,,,
Abbreviated month name,Nov,,,,,,,
Abbreviated month name,Dec,,,,,,,
Abbreviated weekday,Sun,,,,,,,
Abbreviated weekday,Mon,,,,,,,
Abbreviated weekday,Tue,,,,,,,
Abbreviated weekday,Wed,,,,,,,
Abbreviated weekday,Thu,,,,,,,
Abbreviated weekday,Fri,,,,,,,
Abbreviated weekday,Sat,,,,,,,
Abbreviated weekday,Su,,,,,,,
Abbreviated weekday,Mo,,,,,,,
Abbreviated weekday,Tu,,,,,,,
Abbreviated weekday,We,,,,,,,
Abbreviated weekday,Th,,,,,,,
Abbreviated weekday,Fr,,,,,,,
Abbreviated weekday,Sa,,,,,,,
Abbreviated 1 letter weekday Sunday,S,,,,,,,
Abbreviated 1 letter weekday Monday,M,,,,,,,
