msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,"A file that is associated with this node, usually because it is in a field on the node.",,,,,,"En fil som är associerad med denna nod, vanligtvis eftersom den är i ett fält på noden.",
,"A user that is associated with this file, usually because this file is in a field on the user.",,,,,,"En användare som är associerad med denna fil, vanligtvis eftersom denna fil är i ett fält på användaren.",
,"A file that is associated with this user, usually because it is in a field on the user.",,,,,,"En fil som är associerad med denna användare, vanligtvis eftersom den är i ett fält på användaren.",
,"A comment that is associated with this file, usually because this file is in a field on the comment.",,,,,,"En kommentar som är associerad med denna fil, vanligtvis eftersom denna fil är i ett fält på kommentaren.",
,"A file that is associated with this comment, usually because it is in a field on the comment.",,,,,,"En fil som är associerad med denna kommentar, vanligtvis eftersom den är i ett fält på kommentaren.",
,"A taxonomy term that is associated with this file, usually because this file is in a field on the taxonomy term.",,,,,,"En taxonomiterm som är associerad med denna fil, vanligtvis eftersom denna fil är i ett fält på taxonomitermen.",
,"A file that is associated with this taxonomy term, usually because it is in a field on the taxonomy term.",,,,,,"En fil som är associerad med denna taxonomiterm, vanligtvis eftersom den är i ett fält på taxonomitermen.",
,The module managing this file relationship.,,,,,,Modulen som hanterar den här filens relation.,
,The type of entity that is related to the file.,,,,,,Typen av objekt som är relaterad till filen.,
,The number of times the file is used by this entity.,,,,,,Antalet gånger filen används av det här objektet.,
,Used by Style: Table to determine the actual column to click sort the field on. The default is usually fine.,,,,,,Används av stil: Tabell för att bestämma den aktuella kolumnen att klickvis sortera fältet på. Det förvalda fungerar oftast bra.,
,Group column,,,,,,Grupperingskolumn,
,Select the column of this field to apply the grouping function selected above.,,,,,,Markera kolumnen för detta fält att tillämpa den grupperande funktionen som valts ovan.,
,Group columns (additional),,,,,,Gruppkolumner (ytterligare),
,Select any additional columns of this field to include in the query and to group on.,,,,,,Välj ytterligare kolumner för detta fält att inkludera i databasfrågan och för att gruppera på.,
,Display download path instead of file storage URI,,,,,,Visa nedladdningssökväg istället för URI för fillagring,
,The machine name for the vocabulary the term belongs to.,,,,,,Det maskinläsbara namnet för vokabulären som termen hör till.,
,Display error message,,,,,,Visa felmeddelande,
,Comment or document this display.,,,,,,Kommentera eller dokumentera denna visning.,
,Query settings,,,,,,Inställningar för databasfråga,
,Allow to set some advanced settings for the query plugin,,,,,,Tillåt att ställa in några utökade inställningar för insticksprogrammet att köra databasfråga,
,The name and the description of this display,,,,,,Namnet och beskrivningen för denna visning,
,Query options,,,,,,Alternativ för databasfråga,
,Should this display inherit its paging values from the parent display to which it is attached?,,,,,,Skall denna visning ärva sina paginerade värden från den ovanliggande visningen som den är bifogad till?,
,Should this display render the pager values? This is only meaningful if inheriting a pager.,,,,,,Skall denna visning generera de paginerade värdena? Detta är enbart meningsfullt om en paginerare ärvs.,
,This will appear as the name of this block in administer >> structure >> blocks.,,,,,,Detta kommer att synas som namnet för detta block under administrera >> uppbyggnad >> block.,
,Text to display instead of results until the user selects and applies an exposed filter.,,,,,,Text att visa istället för resultat tills användaren väljer och tillämpar ett exponerat filter.,
,All items label,,,,,,Etikett för alla poster,
,Disable SQL rewriting,,,,,,Inaktivera omskrivning av SQL,
,The class to provide on each row.,,,,,,Klassen att tillhandahålla på varje rad.,
,"You may use field tokens from as per the ""Replacement patterns"" used in ""Rewrite the output of this field"" for all fields.",,,,,,"Du kan använda ersättningstecken för fält enligt ""Ersättningsmönster"" som används i ""Skriv om utmatningen för detta fält"" för alla fält.",
,"The class to provide on the wrapper, outside the list.",,,,,,"Klassen att tillhandahålla för omsvepningen, utanför listan.",
,List class,,,,,,Klass för lista,
,The class to provide on the list element itself.,,,,,,Klassen att tillhandahålla för själva listelementet.,
,"Define the base path for links in this summary
        view, i.e. http://example.com/<strong>your_view_path/archive</strong>.
        Do not include beginning and ending forward slash. If this value
        is empty, views will use the first path found as the base path,
        in page displays, or / if no path could be found.",,,,,,"Ange bassökvägen för länkar i denna sammanfattande vy, till exempel http://exempel.se/<strong>sökväg_till_din_vy/arkiv</strong>. Ta inte med inledande och avslutande snedstreck. Om detta värde är tomt kommer Views att använda den första funna sökvägen som grundsökväg i sidvisningar, eller / om ingen sökväg kan hittas.",
,Content access,,,,,,Åtkomst till innehåll,
ampm,am,,,,,,förmiddag,
ampm,pm,,,,,,eftermiddag,
,Sticky status,,,,,,Status för klistrad,
,RSS category,,,,,,Kategori för RSS,
,RSS enclosure,,,,,,Kapsling för RSS,
,Paste your configuration here,,,,,,Klistra in din konfiguration här,
,Import configuration,,,,,,Konfiguration på importering,
,5 minute,,,,,,5 minuter,
,15 minute,,,,,,15 minuter,
,URL to image,,,,,,URL till bild,
,Content revisions,,,,,,Versioner av innehåll,
,Custom block,,,,,,Anpassat block,
,Recipient ID,,,,,,ID-nummer för mottagare,
,%time hence,,,,,,%time från nu,
,Language selection,,,,,,Språkval,
,Delete all translations,,,,,,Radera alla översättningar,
,No Access,,,,,,Ingen åtkomst,
,Search page path,,,,,,Sökväg till söksida,
,Many to one,,,,,,Många till en,
,All Day,,,,,,Hela dagen,
,Upscale,,,,,,Skala upp,
,Entity bundle,,,,,,,
,Logo settings,,,,,,Inställningar för logotyp,
,Delete field.,,,,,,Radera fält.,
,No results behavior,,,,,,Beteende vid inget resultat,
,Edit @section,,,,,,Redigera @section,
,View to insert,,,,,,Vy att infoga,
,The view to insert into this area.,,,,,,Vyn att infoga i detta område.,
,Inherit contextual filters,,,,,,Ärv kontextuella filter,
,"If checked, this view will receive the same contextual filters as its parent.",,,,,,Om detta väljs kommer denna vy att ärva samma kontextuella filter som dess ovanliggande .,
,Recursion detected in view @view display @display.,,,,,,Rekursion upptäckt i vy @view @display.,
,When the filter value is <em>NOT</em> in the URL,,,,,,När filtervärdet <em>INTE FINNS</em> i URL:en,
,Exception value,,,,,,Undantagsvärde,
,"If this value is received, the filter will be ignored; i.e, ""all values""",,,,,,"Om detta värde tas emot, kommer filtret att ignoreras. Det vill säga ""alla värden""",
,When the filter value <em>IS</em> in the URL or a default is provided,,,,,,När filtervärdet <em>FINNS</em> i URL:en eller en förvald tillhandahålls,
,Provide title,,,,,,Tillhandahåll titel,
,Specify validation criteria,,,,,,Ange kriterier för validering,
,Action to take if filter value does not validate,,,,,,Åtgärd att vidta om filtervärde inte validerar,
,Display all results for the specified field,,,,,,Visa alla resultat för det angivna fältet,
,Provide default value,,,,,,Tillhandahåll förvalt värde,
,"Show ""Page not found""",,,,,,"Visa ""Sida hittades inte""",
,Display a summary,,,,,,Visa en sammanfattning,
,"Display contents of ""No results found""",,,,,,"Visa innehåll för ""Inget resultat hittades""",
,Skip default argument for view URL,,,,,,Hoppa över förvalt argument för vyns URL,
,Select whether to include this default argument when constructing the URL for this view. Skipping default arguments is useful e.g. in the case of feeds.,,,,,,Välj huruvida att inkludera detta förvalda argument eller ej vid uppbyggnad av URL:en för denna vy. Att hoppa över förvalt argument är användbart till exempel när det gäller innehållsflöden.,
,Number of records,,,,,,Antal poster,
Sort order,Default sort,,,,,,Förvald sortering,
Sort order,Date,,,,,,Datum,
Sort order,Numerical,,,,,,Numerisk,
,"If selected, users can enter multiple values in the form of 1+2+3 (for OR) or 1,2,3 (for AND).",,,,,,"Om vald, kan användare ange flera värden på formen 1+2+3 (för OR) eller 1,2,3 (för AND).",
,"If selected, multiple instances of this filter can work together, as though multiple values were supplied to the same filter. This setting is not compatible with the ""Reduce duplicates"" setting.",,,,,,"Om vald, kan flera instanser av det här filtret fungera tillsammans, som om flera värden har levererats till samma filter. Denna inställning är inte förenlig med inställningen ""Minska dubbletter"".",
,"If selected, the numbers entered for the filter will be excluded rather than limiting the view.",,,,,,"Om vald, kommer de inmatade siffrorna för filtret att uteslutas stället för att begränsa vyn.",
,"Glossary mode applies a limit to the number of characters used in the filter value, which allows the summary view to act as a glossary.",,,,,,"Ordlisteläge tillfogar en begränsning för hur många tecken som används i filtervärdet, vilket gör att vyn för sammanfattningen fungerar som en ordlista.",
,"How many characters of the filter value to filter against. If set to 1, all fields starting with the first letter in the filter value would be matched.",,,,,,"Hur många tecken på filtervärdet att filtrera mot. Om satt till 1, kommer alla fält som börjar med första bokstaven i filtervärdet att matchas.",
,"When printing the title and summary, how to transform the case of the filter value.",,,,,,"Hur omvandling av det gällande filtervärdet skall ske, vid utskrift av titeln och sammanfattningen.",
Sort order,Alphabetical,,,,,,Alfabetisk,
,Create a label,,,,,,Skapa en etikett,
,"Enable to load this field as hidden. Often used to group fields, or to use as token in another field.",,,,,,"Aktivera för att ladda detta fält som dolt. Används ofta för att gruppera fält, eller för att använda som ersättningstecken i ett annat fält.",
,"Choose the HTML element to wrap around this field, e.g. H1, H2, etc.",,,,,,"Välj HTML-elementet att bädda in runt detta fält. Till exempel: H1, H2, etc.",
,Create a CSS class,,,,,,Skapa en CSS-klass,
,"Choose the HTML element to wrap around this label, e.g. H1, H2, etc.",,,,,,"Välj HTML-element att bädda in runt denna etikett. Till exempel H1, H2, etc.",
,Rewrite results,,,,,,Skriv om resultat,
,Replace spaces with dashes,,,,,,Ersätt mellanslag med streck,
,External server URL,,,,,,URL för extern server,
,Links to an external server using a full URL: e.g. 'http://www.example.com' or 'www.example.com'.,,,,,,"Länkar till en extern server genom att använda en fullständig URL. Till exempel: ""http://www.exempel.se"" eller ""www.exempel.se"".",
,Convert newlines to HTML &lt;br&gt; tags,,,,,,Konvertera radbrytningstecken till HTML-taggar av typ &lt;br&gt;,
,No results text,,,,,,Text vid inget resultat,
,"Enable to display the ""no results text"" if the field contains the number 0.",,,,,,"Aktivera för att visa ""text vid inget resultat"" om detta fält innehåller siffran 0.",
,Time hence,,,,,,Tid från nu,
,"Time hence (with ""hence"" appended)",,,,,,"Tid från nu (med ""från nu"" tillagt efter)",
,"Time span (future dates have ""-"" prepended)",,,,,,"Tidsintervall (framtida datum har ""-"" tillagt före)",
,"Time span (past dates have ""-"" prepended)",,,,,,"Tidsintervall (tidigare datum har ""-"" tillagt före)",
,How should the serialized data be displayed. You can choose a custom array/object key or a print_r on the full output.,,,,,,Hur skall den seriella datainformationen visas. Du kan välja en anpassad nyckel för array/object eller en print_r på den fullständiga utmatningen.,
,Full data (unserialized),,,,,,Fullständig data (ej seriell),
,Full data (serialized),,,,,,Fullständig data (seriell),
,A certain key,,,,,,En viss nyckel,
,Which key should be displayed,,,,,,Vilken nyckel skall visas,
,You have to enter a key if you want to display a key of the data.,,,,,,Du måste ange en nyckel om du vill visa en nyckel från datainformationen.,
,How many different units to display in the string.,,,,,,Hur många olika enheter som skall visas i strängen.,
,This filter is not exposed. Expose it to allow the users to change it.,,,,,,Detta filter visas inte. Visa det för att låta användare ändra det.,
,Expose filter,,,,,,Visa filter,
,"This filter is exposed. If you hide it, users will not be able to change it.",,,,,,Detta filter visas,
,Hide filter,,,,,,Dölj filter,
,Expose operator,,,,,,Visa operand,
,Allow the user to choose the operator.,,,,,,Tillåt användare att välja operanden.,
,Allow multiple selections,,,,,,Tillåt flerval,
,Enable to allow users to select multiple items.,,,,,,Aktivera för att låta användare välja flera alternativ.,
,Remember the last selection,,,,,,Kom ihåg det senaste valet,
,Enable to remember the last selection made by the user.,,,,,,Aktivera för att komma ihåg det senaste valet som gjordes av användaren.,
,You must select a value unless this is an non-required exposed filter.,,,,,,Du måste välja ett värde såvida detta inte är ett valfritt visat filter.,
,Enable to hide items that do not contain this relationship,,,,,,Aktivera för att dölja poster som inte innehåller denna relation,
,This sort is not exposed. Expose it to allow the users to change it.,,,,,,Denna sortering visas inte. Visa den för att låta användare kunna ändra det.,
,Expose sort,,,,,,Visa sortering,
,"This sort is exposed. If you hide it, users will not be able to change it.",,,,,,Denna sortering visas. Om du döljer den kommer inte användare kunna ändra det.,
,Hide sort,,,,,,Dölj sortering,
,Provide description,,,,,,Tillhandahåll beskrivning,
,"Update ""@title"" choice",,,,,,"Uppdatera alternativ ""@title""",
,"Update ""@title"" choice (@number)",,,,,,"Uppdatera alternativ (@number) ""@title""",
,Auto preview,,,,,,Automatiskt förhandsgranskning,
,Preview with contextual filters:,,,,,,Förhandsgranska med kontextuella filter:,
,"Separate contextual filter values with a ""/"". For example, %example.",,,,,,"Separera sammanhängande filtervärden med ett ""/"". Till exempel: %example.",
,:,,,,,,:,
,Apply and continue,,,,,,Lägg till och fortsätt,
,@current of @total,,,,,,@current av @total,
,All displays (except overridden),,,,,,Alla visningar (förutom åsidosatta),
,All displays,,,,,,Alla visningar,
,This @display_type (override),,,,,,Denna @display_type (åsidosatt),
,Create new filter group,,,,,,Skapa ny filtergrupp,
,No filters have been added.,,,,,,Inga filter har lagts till.,
,Drag to add filters.,,,,,,Drag-och-släpp för att lägga till filter.,
,Add and configure @types,,,,,,Lägg till och konfigurera @types,
,Configure @type: @item,,,,,,Konfigurera @type: @item,
,Always show advanced display settings,,,,,,Visa alltid inställningar för utökad visning,
,"Label for ""Any"" value on non-required single-select exposed filters",,,,,,"Etikett för värdet ""Alla"" på synliga filter med valfria enkelvalsalternativ",
,Live preview settings,,,,,,Inställningar för direkt förhandsgranskning,
,Automatically update preview on changes,,,,,,Uppdatera förhandsgranskning automatiskt vid ändringar,
,Show information and statistics about the view during live preview,,,,,,Visa information och statistik om vyn under direkt förhandsgranskning,
,Above the preview,,,,,,Ovanför förhandstitten,
,Below the preview,,,,,,Nedanför förhandstitten,
,Show the SQL query,,,,,,Visa databasfrågan för SQL,
,Show performance statistics,,,,,,Visa statistik för prestanda,
,Display,Displays,,,,,Visning,Visningar
,Unformatted list,,,,,,Oformaterad lista,
,Contextual filters,,,,,,Kontextuella filter,
,contextual filters,,,,,,kontextuella filter,
,Contextual filter,,,,,,Kontextuellt filter,
,contextual filter,,,,,,kontextuellt filter,
,filter criteria,,,,,,filterkriterier,
,Filter criterion,,,,,,Filterkriterium,
,filter criterion,,,,,,filterkriterium,
,no results behavior,,,,,,beteende vid inget resultat,
,The node ID.,,,,,,ID för noden.,
,The content title.,,,,,,Innehållets titel.,
,The date the content was posted.,,,,,,Datumet som innehållet lades in.,
,Filters out unpublished content if the current user cannot view it.,,,,,,Filtrerar ut ej publicerat innehåll om den aktuella användaren inte kan visa det.,
,Whether or not the content is sticky.,,,,,,Huruvida innehållet är klistrat eller ej.,
,"Whether or not the content is sticky. To list sticky content first, set this to descending.",,,,,,"Huruvida innehållet är klistrat eller ej. För att lista klistrat innehåll först, sätt detta till ökande.",
,Relate content to the user who created it.,,,,,,Relatera innehåll till användaren som skapade det.,
,User has a revision,,,,,,Användare har en version,
,All nodes where a certain user has a revision,,,,,,Alla noder där en viss användare har en version,
,Content revision is a history of changes to content.,,,,,,Version av innehåll är en historik av ändringar till innehåll.,
,Get the actual content from a content revision.,,,,,,Erhåll det nuvarande innehållet från en versions innehåll.,
,Provide a simple link to delete the content revision.,,,,,,Tillhandahåll en enkel länk för att radera versionens innehåll.,
,Filter for content by view access. <strong>Not necessary if you are using node as your base table.</strong>,,,,,,Filter för innehåll genom vyåtkomst. <strong>Ej nödvändigt om du använder nod som din bastabell.</strong>,
,Show a marker if the content is new or updated.,,,,,,Visa en markering om innehållet är nytt eller uppdaterat.,
,Show only content that is new or updated.,,,,,,Visa enbart innehåll som är nytt eller uppdaterat.,
,Display the content with standard node view.,,,,,,Visa innehållet med förvald nodvy.,
,Content ID from URL,,,,,,ID för innehåll från URL,
,"Content that is associated with this file, usually because this file is in a field on the content.",,,,,,"Innehåll som är associerat med denna fil, vanligtvis eftersom denna fil är ett fält på ett innehåll.",
,"Allows the ""depth"" for Taxonomy: Term ID (with depth) to be modified via an additional contextual filter value.",,,,,,"Ger möjlighet att ändra ""djupet"" för Taxonomi: ID för Term (med djup) med ett ytterligare sammanhängande filtervärde.",
,Content authored,,,,,,Författade innehåll,
,Relate content to the user who created it. This relationship will create one record for each content item created by the user.,,,,,,Relatera innehåll till användaren som skapade det. Denna relation kommer att skapa en lagring för varje innehållspost skapad av användaren.,
,"Allow a contextual filter value to be ignored. The query will not be altered by this contextual filter value. Can be used when contextual filter values come from the URL, and a part of the URL needs to be ignored.",,,,,,Ger möjlighet att ignorera ett sammanhängande filtervärde. Databasfrågan kommer då inte att påverkas av detta sammanhängande filtervärde. Detta kan användas när sammanhängande filtervärden hämtas från URL:en och en del av den måste ignoreras.,
,View area,,,,,,Vyområde,
,Insert a view inside an area.,,,,,,Infoga en vy inuti ett område,
,Enable to override this field's links.,,,,,,Aktivera för att åsidosätta detta fälts länkar.,
,Use field template,,,,,,Använd fältmall,
,Checking this option will cause the group Display Type and Separator values to be ignored.,,,,,,Markeras det här alternativet kommer det att orsaka att värden för gruppen Visningstyp och Avskiljare ignoreras.,
,Multiple field settings,,,,,,Inställningar för flera fält,
,Display all values in the same row,,,,,,Visa alla värden på samma rad,
,Display @count value(s),,,,,,Visar @count värde(n),
,Raw @column,,,,,,Obearbetad @column,
,Link this field to the original piece of content,,,,,,Länka detta fält till den ursprungliga delen av innehållet,
,Access operation to check,,,,,,Åtkomstfunktion att kontrollera,
,"If selected, users can enter multiple values in the form of 1+2+3. Due to the number of JOINs it would require, AND will be treated as OR with this filter.",,,,,,"Om vald, kan användare ange flera värden på formen 1+2+3. På grund av det antal JOINS det skulle kräva, kommer AND att behandlas som OR med detta filter.",
,Load default filter from term page,,,,,,Ladda förvalt filter från termsida,
,Transform dashes in URL to spaces in term name filter values,,,,,,Förvandla tankestreck i URL till mellanslag i filtreringsvärden för namn på term,
,"Note: you do not have permission to modify this. If you change the default filter type, this setting will be lost and you will NOT be able to get it back.",,,,,,"Observera: du inte har behörighet att ändra detta. Om du ändrar den förvalda filtertypen, kommer denna inställning att gå förlorade och du kommer INTE kunna få tillbaka den.",
,Change the way content is formatted.,,,,,,Ändra hur innehåll är formaterat.,
,Change settings for this format,,,,,,Ändra inställningar för detta format,
,Change the way each row in the view is styled.,,,,,,Ändra hur varje rad i vyn är formaterad.,
,Hide attachments in summary,,,,,,Dölj bilagor i sammanfattning,
,Change whether or not to display attachments when displaying a contextual filter summary.,,,,,,Ändra huruvida bilagor skall visas eller inte vid visning av en sammanhängande filtrerad sammanfattning.,
,Hide attachments when displaying a contextual filter summary,,,,,,Dölj bilagor vid visning av en sammanhängande filtrerad sammanfattning,
,Attachment position,,,,,,Position av bilaga,
,Should this display inherit its contextual filter values from the parent display to which it is attached?,,,,,,Skall denna visning ärva dess sammanhängande filtreringsvärden från dess ovanliggande visning som den är bifogad till?,
,"This view will be displayed by visiting this path on your site. It is recommended that the path be something like ""path/%/%/feed"" or ""path/%/%/rss.xml"", putting one % in the path for each contextual filter you have defined in the view.",,,,,,"Denna vy kommer att visas när den här sökvägen besöks på din webbplats. Sökvägen bör vara något i stil med ""sökväg/%/%/feed"" eller ""sökväg/%/%/rss.xml"" där varje kontextuellt filter som du angivit i vyn motsvaras av %.",
,Display @display is set to use a menu but the menu link text is not set.,,,,,,"Visning @display är inställd på att använda en meny, men texten till menylänken är inte inställd.",
,Display @display is set to use a parent menu but the parent menu link text is not set.,,,,,,"Visning @display är inställd på att använda en ovanliggande meny, men texten till den ovanliggande menylänken är inte inställd.",
,"@count item, skip @skip","Paged, @count items, skip @skip",,,,,"@count post, hoppa över @skip","Paginerad, @count poster, hoppa över @skip"
,@count item,"Paged, @count items",,,,,@count post,"Paginerad, @count poster"
,Create a page,,,,,,Skapa en sida,
,Create a menu link,,,,,,Skapa en menylänk,
,Include an RSS feed,,,,,,Inkludera ett RSS-flöde,
,Feed path,,,,,,Sökväg för innehållsflöde,
,Feed row style,,,,,,Radstil för innehållsflöde,
,Create a block,,,,,,Skapa ett block,
,of fields,,,,,,av fält,
,of type,,,,,,av typ,
,teasers,,,,,,ingresser,
,full posts,,,,,,fullständiga inlägg,
,titles,,,,,,titlar,
,titles (linked),,,,,,titlar (länkade),
,Sorts,,,,,,Sorteringar,
,Hide view,,,,,,Dölj vy,
,@group (historical data),,,,,,@group (historisk data),
,Use path alias,,,,,,Använd sökvägsalias,
,Field mappings,,,,,,Fältmappningar,
,Cooking time,,,,,,Tillagningstid,
,View any unpublished content,,,,,,Visa ej publicerat innehåll,
,Relative default value,,,,,,Relativt förvalt värde,
,The comment UUID.,,,,,,UUID för kommentaren.,
,The file UUID.,,,,,,UUID för filen.,
,The term UUID.,,,,,,UUID för termen.,
,The user UUID.,,,,,,UUID för användaren.,
,Field item,,,,,,Fältobjekt,
,Edit shortcut set,,,,,,Redigera uppsättning av genväg,
,Appearance settings,,,,,,Inställningar för utseende,
,Delete translation,,,,,,Radera översättning,
,Unsorted,,,,,,Ej sorterad,
,Changes to the style have been saved.,,,,,,Ändringar till stilen har sparats.,
,Media query,,,,,,Databasfråga för media,
,Aggregation type,,,,,,Typ av hopsamling,
,Mapping type,,,,,,Typ av mappning,
,Create media,,,,,,Skapa media,
,Use replacement tokens from the first row,,,,,,Använd ersättningstecken från den första raden,
,Allow multiple filter values to work together,,,,,,Tillåt flera filtervärden att fungera tillsammans,
,Customize field HTML,,,,,,Anpassa HTML-fält,
,You may use token substitutions from the rewriting section in this class.,,,,,,Du kan använda teckenersättningar från utmatningssektionen i den här klassen.,
,Customize label HTML,,,,,,Anpassa HTML-etikett,
,Customize field and label wrapper HTML,,,,,,Anpassa omslutande HTML för fält och etikett,
,"Choose the HTML element to wrap around this field and label, e.g. H1, H2, etc. This may not be used if the field and label are not rendered together, such as with a table.",,,,,,"Välj HTML-elementet som skall omsluta detta fält och etikett, till exempel H1, H2, etcetera. Detta kan inte användas om fältet och etiketten inte genereras tillsammans, såsom med en tabell.",
,Remove whitespace,,,,,,Tag bort blanksteg,
,Hide rewriting if empty,,,,,,Dölj utmatning om tomt,
,Do not display rewritten content if this field is empty.,,,,,,Visa inte omskrivet innehåll om detta fält är tomt.,
,Thousands marker,,,,,,Tusentalsmarkör,
,"Expose this filter to visitors, to allow them to change it",,,,,,Visa detta filter för besökare för att låta dem ändra det,
,Representative sort order,,,,,,Representativ sorteringsordning,
,Subquery namespace,,,,,,Namnutrymme för inbäddad databasfråga,
,Advanced. Enter a namespace for the subquery used by this relationship.,,,,,,Utökat. Ange ett namnutrymme för den inbäddade databasfrågan som används av denna relation.,
,Representative view,,,,,,Representativ vy,
,"Advanced. Use another view to generate the relationship subquery. This allows you to use filtering and more than one sort. If you pick a view here, the sort options above are ignored. Your view must have the ID of its base as its only field, and should have some kind of sorting.",,,,,,"Utökat. Använd en annan vy för att generera den relaterade inbäddade databasfrågan. Detta låter dig använda filtrering och mer än en sortering. Om du väljer en vy här kommer sorteringsalternativen ovan att ignoreras. Din vy måste ha ID-numret för sin huvudvy som dess enda fält, och bör ha någon slags sortering.",
,"Will re-generate the subquery for this relationship every time the view is run, instead of only when these options are saved. Use for testing if you are making changes elsewhere. WARNING: seriously impairs performance.",,,,,,Kommer att generera den inbäddade databasfrågan igen för denna relation varje gång som vyn körs istället för enbart när dessa alternativ sparas. Använd detta för testning om du gör ändringar någon annanstans. VARNING: påverkar prestandan väldigt mycket.,
,"Expose this sort to visitors, to allow them to change it",,,,,,Visa denna sortering för besökare för att låta dem ändra det,
,This display is disabled.,,,,,,Denna visning är inaktiverad.,
,"Error: Display @display refers to a plugin named '@plugin', but that plugin is not available.",,,,,,"Felmeddelande: Visning @display hänvisar till ett insticksprogram som kallas ""@plugin"", men det finns inte tillgängligt.",
,Aggregation settings,,,,,,Inställningar för hopsamling,
,Display extenders,,,,,,Visningsändelser,
,Select extensions of the views interface.,,,,,,Välj ändelser för vyns gränssnitt.,
,You have configured display %display with a path which is an path alias as well. This might lead to unwanted effects so better use an internal path.,,,,,,Du har konfigurerat visning %display med en sökväg som också är ett sökvägsalias. Detta kan leda till oönskade effekter så det är bättre att använda en intern sökväg.,
,Configure aggregation settings for @type %item,,,,,,Konfigurera inställningar för hopsamling för @type %item,
,Select the aggregation function to use on this field.,,,,,,Välj funktionen för hopsamling att använda på detta fält.,
,Empty display extender,,,,,,Tom visningsändelse,
,Raw value from URL,,,,,,Obehandlat värde från URL,
,Apply (all displays),,,,,,Tillämpa (alla visningar),
,Apply (this display),,,,,,Tillämpa (denna visning),
,The date of the most recent new content on the feed.,,,,,,Datumet för det senaste nya innehållet på flödet.,
,Appears in: @bundles.,,,,,,Förekommer i: @bundles.,
,This is an alias of @group: @field.,,,,,,Detta är ett alias för @group: @field.,
,@group: @field,,,,,,@group: @field,
,@group (historical data): @field,,,,,,@group (historisk data): @field,
,@label:delta,,,,,,@label:delta,
,Delta - Appears in: @bundles.,,,,,,Delta - Förekommer i: @bundles.,
,User who uploaded,,,,,,Användare som laddade upp,
,Taxonomy term chosen from autocomplete or select widget.,,,,,,Taxonomitermen vald från gränssnittskomponent för automatisk komplettering eller val.,
,Representative node,,,,,,Representativ nod,
,"Obtains a single representative node for each term, according to a chosen sort criterion.",,,,,,"Erhåller en enstaka representativ nod för varje term, enligt ett valt sorteringskriterium.",
,Content with term,,,,,,Innehåll med term,
,Relate all content tagged with a term.,,,,,,Relatera allt innehåll märkt med en term.,
,Has taxonomy term ID,,,,,,Har ID-nummer för taxonomiterm,
,Display content if it has the selected taxonomy terms.,,,,,,Visa innehåll om det har de valda taxonomitermerna.,
,Has taxonomy term,,,,,,Har taxonomiterm,
,Taxonomy terms on node,,,,,,Taxonomitermer på nod,
,All taxonomy terms,,,,,,Alla taxonomitermer,
,"Display content if it has the selected taxonomy terms, or children of the selected terms. Due to additional complexity, this has fewer options than the versions without depth.",,,,,,"Visa innehåll om det har de valda taxonomitermerna, eller underliggande av de valda termerna. På grund av ytterligare komplexitet har detta färre alternativ än versionerna utan djup.",
,Has taxonomy term ID (with depth),,,,,,Har ID-nummer för taxonomiterm (med djup),
,Has taxonomy terms (with depth),,,,,,Har taxonomitermer (med djup),
,Has taxonomy term ID depth modifier,,,,,,Har modifierare för djup av ID-nummer för taxonomiterm,
,@entity using @field,,,,,,@entity som använder @field,
,Taxonomy term ID from URL,,,,,,ID-nummer för taxonomiterm från URL,
,"Obtains a single representative node for each user, according to a chosen sort criterion.",,,,,,"Erhåller en enstaka representativ nod för varje användare, enligt ett givet sorteringskriterium.",
,"If checked, multiple values for this field will be shown in the same row. If not checked, each value in this field will create a new row. If using group by, please make sure to group by ""Entity ID"" for this setting to have any effect.",,,,,,"Om markerad, kommer flera värden för detta fält visas på samma rad. Om inte markerad, kommer varje värde på detta fält skapa en ny rad. Om du använder gruppera på, var vänlig se till att gruppera på ""ID för objekt"" för att denna inställning skall ha någon effekt.",
,"Display an icon representing the file type, instead of the MIME text (such as ""image/jpeg"")",,,,,,"Visa en ikon som representerar filtypen, istället för MIME-texten (såsom ""image/jpeg"").",
,"Load default filter from node page, that's good for related taxonomy blocks",,,,,,"Ladda förvalt filter från nodsida, detta duger för relaterade taxonomiblock",
,Path component,,,,,,Sökvägskomponent,
,"The numbering starts from 1, e.g. on the page admin/structure/types, the 3rd path component is ""types"".",,,,,,"Numreringen startar från 1, till exempel på sidan admin/structure/types, är den tredje sökvägskomponenten ""types"".",
,Use aggregation,,,,,,Använd gruppering,
,Display title may not be empty.,,,,,,Visningstitel får inte vara tomt.,
,When the filter value is <em>NOT</em> available,,,,,,När filtreringsvärdet <em>INTE</em> finns tillgängligt,
,When the filter value <em>IS</em> available or a default is provided,,,,,,När filtreringsvärdet <em>FINNS</em> tillgängligt eller ett förvalt tillhandahålls,
,"This display does not have a source for contextual filters, so no contextual filter value will be available unless you select 'Provide default'.",,,,,,"Denna visning har ingen källa för kontextuella filter, så inget filtervärde kommer att finnas tillgängligt om du inte väljer ""Tillhandahåll förvalt"".",
,Query Comment,,,,,,Kommentar för databasfråga,
,"If set, this comment will be embedded in the query and passed to the SQL server. This can be helpful for logging or debugging.",,,,,,"Om satt, kommer denna kommentar att bäddas in i databasfrågan och skickas med till SQL-servern. Detta kan vara hjälpsamt för loggning och felsökning.",
